2025-02-10 00:45:00,180 DEBUG:Days list: ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']
2025-02-10 00:45:00,207 DEBUG:=== 試行回数 1 ===
2025-02-10 00:45:00,242 DEBUG:[fill_len2_cat3] Assigned 創造製作II -> Friday, p=0
2025-02-10 00:45:00,243 DEBUG:[fill_len2_cat3] Assigned 力と変形 -> Friday, p=0
2025-02-10 00:45:00,243 DEBUG:[fill_len2_cat3] Assigned プログラミング -> Friday, p=0
2025-02-10 00:45:00,243 DEBUG:[fill_len2_cat3] Assigned システムプログラミングII -> Friday, p=0
2025-02-10 00:45:00,244 DEBUG:[fill_len2_cat3] Assigned 数学ⅢA -> Friday, p=0
2025-02-10 00:45:00,244 DEBUG:[fill_len2_cat3] Assigned 歴史 -> Friday, p=0
2025-02-10 00:45:00,244 DEBUG:[fill_len2_cat3] Assigned 地盤工学基礎 -> Friday, p=0
2025-02-10 00:45:00,245 DEBUG:[fill_len2_cat3] Assigned 建築環境工学△ -> Friday, p=0
2025-02-10 00:45:00,245 DEBUG:[fill_len2_cat3] Assigned 国語IB -> Friday, p=0
2025-02-10 00:45:00,246 DEBUG:[fill_len2_cat3] Assigned 数学IIB -> Friday, p=0
2025-02-10 00:45:00,247 DEBUG:[fill_len2_cat3] Assigned 工学デザイン基礎II -> Monday, p=1
2025-02-10 00:45:00,247 DEBUG:[fill_len2_cat3] Assigned 基礎英語W -> Monday, p=1
2025-02-10 00:45:00,247 DEBUG:[fill_len2_cat3] Assigned 基礎設計製図I -> Monday, p=1
2025-02-10 00:45:00,248 DEBUG:[fill_len2_cat3] Assigned 集積回路設計I△ -> Monday, p=1
2025-02-10 00:45:00,248 DEBUG:[fill_len2_cat3] Assigned 国語総合II -> Monday, p=1
2025-02-10 00:45:00,249 DEBUG:[fill_len2_cat3] Assigned 数学IB -> Monday, p=1
2025-02-10 00:45:00,249 DEBUG:[fill_len2_cat3] Assigned 機能材料△ -> Monday, p=1
2025-02-10 00:45:00,250 DEBUG:[fill_len2_cat3] Assigned 電磁気学 -> Monday, p=1
2025-02-10 00:45:00,250 DEBUG:[fill_len2_cat3] Assigned プログラミング応用 -> Monday, p=1
2025-02-10 00:45:00,251 DEBUG:[fill_len2_cat3] Assigned 地盤工学 -> Monday, p=1
2025-02-10 00:45:00,252 DEBUG:[fill_len2_cat3] Assigned コンピュータ制御 -> Tuesday, p=1
2025-02-10 00:45:00,252 DEBUG:[fill_len2_cat3] Assigned 総合英語IR -> Tuesday, p=1
2025-02-10 00:45:00,252 DEBUG:[fill_len2_cat3] Assigned アナログ回路 -> Tuesday, p=1
2025-02-10 00:45:00,252 DEBUG:[fill_len2_cat3] Assigned 総合英語演習II -> Tuesday, p=1
2025-02-10 00:45:00,253 DEBUG:[fill_len2_cat3] Assigned ディジタル信号処理 -> Tuesday, p=1
2025-02-10 00:45:00,253 DEBUG:[fill_len2_cat3] Assigned 材料学II -> Tuesday, p=1
2025-02-10 00:45:00,254 DEBUG:[fill_len2_cat3] Assigned ディジタル回路応用 -> Tuesday, p=1
2025-02-10 00:45:00,254 DEBUG:[fill_len2_cat3] Assigned 物理I -> Tuesday, p=1
2025-02-10 00:45:00,254 DEBUG:[fill_len2_cat3] Assigned 工業英語II -> Tuesday, p=1
2025-02-10 00:45:00,255 DEBUG:[fill_len2_cat3] Assigned 応用物理 -> Tuesday, p=1
2025-02-10 00:45:00,256 DEBUG:[fill_len2_cat3] Assigned 英会話 -> Wednesday, p=1
2025-02-10 00:45:00,257 DEBUG:[fill_len2_cat3] Assigned 工学デザイン基礎Ⅲ -> Wednesday, p=1
2025-02-10 00:45:00,257 DEBUG:[fill_len2_cat3] Assigned 総合英語IR -> Wednesday, p=1
2025-02-10 00:45:00,257 DEBUG:[fill_len2_cat3] Assigned 物理II -> Wednesday, p=1
2025-02-10 00:45:00,257 DEBUG:[fill_len2_cat3] Assigned コンピュータグラフィックス△ -> Wednesday, p=1
2025-02-10 00:45:00,258 DEBUG:[fill_len2_cat3] Assigned 水理学，建築計画△ -> Wednesday, p=1
2025-02-10 00:45:00,258 DEBUG:[fill_len2_cat3] Assigned 機械の基礎 -> Wednesday, p=1
2025-02-10 00:45:00,259 DEBUG:[fill_len2_cat3] Assigned ライフサイエンス・アースサイエンス -> Wednesday, p=1
2025-02-10 00:45:00,259 DEBUG:[fill_len2_cat3] Assigned 弾塑性論 -> Wednesday, p=1
2025-02-10 00:45:00,260 DEBUG:[fill_len2_cat3] Assigned ベクトル解析 -> Wednesday, p=1
2025-02-10 00:45:00,261 DEBUG:[fill_len2_cat3] Assigned 鋼構造学II△ -> Wednesday, p=1
2025-02-10 00:45:00,262 DEBUG:[fill_len2_cat3] Assigned 応用物理 -> Wednesday, p=1
2025-02-10 00:45:00,262 DEBUG:[fill_len2_cat3] Assigned アクチュエータ -> Wednesday, p=1
2025-02-10 00:45:00,264 DEBUG:[fill_len2_cat3] Assigned 基礎英語W -> Thursday, p=1
2025-02-10 00:45:00,264 DEBUG:[fill_len2_cat3] Assigned ディジタル回路 -> Thursday, p=1
2025-02-10 00:45:00,264 DEBUG:[fill_len2_cat3] Assigned 言語処理△ -> Thursday, p=1
2025-02-10 00:45:00,264 DEBUG:[fill_len2_cat3] Assigned 情報処理 -> Thursday, p=1
2025-02-10 00:45:00,265 DEBUG:[fill_len2_cat3] Assigned 日本建築史△ -> Thursday, p=1
2025-02-10 00:45:00,265 DEBUG:[fill_len2_cat3] Assigned 構造力学基礎 -> Thursday, p=1
2025-02-10 00:45:00,266 DEBUG:[fill_len2_cat3] Assigned 機械力学II -> Thursday, p=1
2025-02-10 00:45:00,266 DEBUG:[fill_len2_cat3] Assigned プログラミング応用 -> Thursday, p=1
2025-02-10 00:45:00,267 DEBUG:[fill_len2_cat3] Assigned 数学IA -> Thursday, p=1
2025-02-10 00:45:00,268 DEBUG:[fill_len2_cat3] Assigned ネットワークアーキテクチャ -> Friday, p=1
2025-02-10 00:45:00,268 DEBUG:[fill_len2_cat3] Assigned 設計製図I -> Friday, p=1
2025-02-10 00:45:00,268 DEBUG:[fill_len2_cat3] Assigned 数学IB -> Friday, p=1
2025-02-10 00:45:00,269 DEBUG:[fill_len2_cat3] Assigned ベクトル解析 -> Friday, p=1
2025-02-10 00:45:00,269 DEBUG:[fill_len2_cat3] Assigned 歴史 -> Friday, p=1
2025-02-10 00:45:00,269 DEBUG:[fill_len2_cat3] Assigned 構造力学基礎 -> Friday, p=1
2025-02-10 00:45:00,270 DEBUG:[fill_len2_cat3] Assigned 河海工学II△ -> Friday, p=1
2025-02-10 00:45:00,270 DEBUG:[fill_len2_cat3] Assigned 情報理論 -> Friday, p=1
2025-02-10 00:45:00,271 DEBUG:[fill_len2_cat3] Assigned プログラミング言語 -> Friday, p=1
2025-02-10 00:45:00,271 DEBUG:[fill_len2_cat3] Assigned 数学ⅢA -> Friday, p=1
2025-02-10 00:45:00,271 DEBUG:[fill_len2_cat3] Assigned 数学IIA -> Friday, p=1
2025-02-10 00:45:00,272 DEBUG:[fill_len2_cat3] Assigned 微分積分学I -> Friday, p=1
2025-02-10 00:45:00,273 DEBUG:[fill_len2_cat3] Assigned 計測工学 -> Friday, p=1
2025-02-10 00:45:00,273 DEBUG:[fill_len2_cat3] Assigned 国語IA -> Friday, p=1
2025-02-10 00:45:00,275 DEBUG:[fill_len2_cat3] Assigned 基礎英語W -> Monday, p=2
2025-02-10 00:45:00,276 DEBUG:[fill_len2_cat3] Assigned 数学ⅢA -> Monday, p=2
2025-02-10 00:45:00,276 DEBUG:[fill_len2_cat3] Assigned 基礎設計図II -> Monday, p=2
2025-02-10 00:45:00,276 DEBUG:[fill_len2_cat3] Assigned 数学IB -> Monday, p=2
2025-02-10 00:45:00,277 DEBUG:[fill_len2_cat3] Assigned 倫理 -> Monday, p=2
2025-02-10 00:45:00,277 DEBUG:[fill_len2_cat3] Assigned 熱機関 -> Monday, p=2
2025-02-10 00:45:00,278 DEBUG:[fill_len2_cat3] Assigned 数学IIA -> Monday, p=2
2025-02-10 00:45:00,279 DEBUG:[fill_len2_cat3] Assigned 機械設計論I -> Monday, p=2
2025-02-10 00:45:00,279 DEBUG:[fill_len2_cat3] Assigned 建築施工法△ -> Monday, p=2
2025-02-10 00:45:00,280 DEBUG:[fill_len2_cat3] Assigned 応用物理 -> Monday, p=2
2025-02-10 00:45:00,281 DEBUG:[fill_len2_cat3] Assigned 電子回路I -> Monday, p=2
2025-02-10 00:45:00,282 DEBUG:[fill_len2_cat3] Assigned 基礎コンピュータ工学 -> Monday, p=2
2025-02-10 00:45:00,283 DEBUG:[fill_len2_cat3] Assigned 英会話 -> Tuesday, p=2
2025-02-10 00:45:00,283 DEBUG:[fill_len2_cat3] Assigned 総合英語IR -> Tuesday, p=2
2025-02-10 00:45:00,283 DEBUG:[fill_len2_cat3] Assigned 確率 -> Tuesday, p=2
2025-02-10 00:45:00,284 DEBUG:[fill_len2_cat3] Assigned 基礎英語R -> Tuesday, p=2
2025-02-10 00:45:00,284 DEBUG:[fill_len2_cat3] Assigned フーリエ変換 -> Tuesday, p=2
2025-02-10 00:45:00,284 DEBUG:[fill_len2_cat3] Assigned 線形代数 -> Tuesday, p=2
2025-02-10 00:45:00,285 DEBUG:[fill_len2_cat3] Assigned 測量学I -> Tuesday, p=2
2025-02-10 00:45:00,285 DEBUG:[fill_len2_cat3] Assigned 電気回路II -> Tuesday, p=2
2025-02-10 00:45:00,286 DEBUG:[fill_len2_cat3] Assigned ソフトウェア工学 -> Tuesday, p=2
2025-02-10 00:45:00,286 DEBUG:[fill_len2_cat3] Assigned 都市計画 -> Tuesday, p=2
2025-02-10 00:45:00,287 DEBUG:[fill_len2_cat3] Assigned 物理II -> Tuesday, p=2
2025-02-10 00:45:00,288 DEBUG:[fill_len2_cat3] Assigned 数学IB -> Tuesday, p=2
2025-02-10 00:45:00,289 DEBUG:[fill_len2_cat3] Assigned CAD基礎 -> Wednesday, p=2
2025-02-10 00:45:00,289 DEBUG:[fill_len2_cat3] Assigned ライフサイエンス・アースサイエンス -> Wednesday, p=2
2025-02-10 00:45:00,290 DEBUG:[fill_len2_cat3] Assigned 数学IA -> Wednesday, p=2
2025-02-10 00:45:00,290 DEBUG:[fill_len2_cat3] Assigned 数学IIA -> Wednesday, p=2
2025-02-10 00:45:00,291 DEBUG:[fill_len2_cat3] Assigned 技術者倫理 -> Wednesday, p=2
2025-02-10 00:45:00,292 DEBUG:[fill_len2_cat3] Assigned 物理I -> Wednesday, p=2
2025-02-10 00:45:00,292 DEBUG:[fill_len2_cat3] Assigned 数学IIB -> Wednesday, p=2
2025-02-10 00:45:00,293 DEBUG:[fill_len2_cat3] Assigned 水力学II -> Wednesday, p=2
2025-02-10 00:45:00,293 DEBUG:[fill_len2_cat3] Assigned 機構学 -> Wednesday, p=2
2025-02-10 00:45:00,294 DEBUG:[fill_len2_cat3] Assigned 英会話 -> Wednesday, p=2
2025-02-10 00:45:00,295 DEBUG:[fill_len2_cat3] Assigned 基礎構造学 -> Wednesday, p=2
2025-02-10 00:45:00,296 DEBUG:[fill_len2_cat3] Assigned 哲学 -> Thursday, p=2
2025-02-10 00:45:00,296 DEBUG:[fill_len2_cat3] Assigned 画像工学△ -> Thursday, p=2
2025-02-10 00:45:00,297 DEBUG:[fill_len2_cat3] Assigned 国語IB -> Thursday, p=2
2025-02-10 00:45:00,297 DEBUG:[fill_len2_cat3] Assigned 工学セミナー△ -> Thursday, p=2
2025-02-10 00:45:00,297 DEBUG:[fill_len2_cat3] Assigned 基礎英語R -> Thursday, p=2
2025-02-10 00:45:00,298 DEBUG:[fill_len2_cat3] Assigned 歴史 -> Thursday, p=2
2025-02-10 00:45:00,298 DEBUG:[fill_len2_cat3] Assigned 水理学基礎 -> Thursday, p=2
2025-02-10 00:45:00,298 DEBUG:[fill_len2_cat3] Assigned 数学IIA -> Thursday, p=2
2025-02-10 00:45:00,299 DEBUG:[fill_len2_cat3] Assigned 総合英語演習I -> Thursday, p=2
2025-02-10 00:45:00,299 DEBUG:[fill_len2_cat3] Assigned 制御工学II -> Thursday, p=2
2025-02-10 00:45:00,300 DEBUG:[fill_len2_cat3] Assigned 電気回路 -> Thursday, p=2
2025-02-10 00:45:00,300 DEBUG:[fill_len2_cat3] Assigned 数学IB -> Thursday, p=2
2025-02-10 00:45:00,301 DEBUG:[fill_len2_cat3] Assigned 建築構造設計 -> Thursday, p=2
2025-02-10 00:45:00,301 DEBUG:[fill_len2_cat3] Assigned 工業力学 -> Thursday, p=2
2025-02-10 00:45:00,302 DEBUG:[fill_len2_cat3] Assigned 計測工学 -> Friday, p=2
2025-02-10 00:45:00,303 DEBUG:[fill_len2_cat3] Assigned 国語総合II -> Friday, p=2
2025-02-10 00:45:00,303 DEBUG:[fill_len2_cat3] Assigned 倫理 -> Friday, p=2
2025-02-10 00:45:00,303 DEBUG:[fill_len2_cat3] Assigned コンピュータ演習 -> Friday, p=2
2025-02-10 00:45:00,304 DEBUG:[fill_len2_cat3] Assigned 数学IA -> Friday, p=2
2025-02-10 00:45:00,304 DEBUG:[fill_len2_cat3] Assigned 関数論 -> Friday, p=2
2025-02-10 00:45:00,305 DEBUG:[fill_len2_cat3] Assigned コンピュータアーキテクチャ -> Friday, p=2
2025-02-10 00:45:00,305 DEBUG:[fill_len2_cat3] Assigned 数学IIA -> Friday, p=2
2025-02-10 00:45:00,305 DEBUG:[fill_len2_cat3] Assigned ライフサイエンス・アースサイエンス -> Friday, p=2
2025-02-10 00:45:00,306 DEBUG:[fill_len2_cat3] Assigned 道路工学I△ -> Friday, p=2
2025-02-10 00:45:00,306 DEBUG:[fill_len2_cat3] Assigned 材料学I -> Friday, p=2
2025-02-10 00:45:00,307 DEBUG:[fill_len2_cat3] Assigned 流体力学△ -> Friday, p=2
2025-02-10 00:45:00,308 DEBUG:[DEBUG] Found empty slot -> Wednesday p=2, grade=IE5
2025-02-10 00:45:00,308 DEBUG:[DEBUG] No direct course for Wednesday, p=2, grade=IE5 -> Trying swap
2025-02-10 00:45:00,308 DEBUG:[DEBUG] Unassigned 数学演習 from Monday, p=3
2025-02-10 00:45:00,309 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 数学演習
2025-02-10 00:45:00,309 DEBUG:[DEBUG] Unassigned 体育 from Monday, p=0
2025-02-10 00:45:00,309 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 体育
2025-02-10 00:45:00,309 DEBUG:[DEBUG] Unassigned 体育 from Monday, p=1
2025-02-10 00:45:00,309 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 体育
2025-02-10 00:45:00,309 DEBUG:[DEBUG] Unassigned 応用数物演習△ from Monday, p=0
2025-02-10 00:45:00,309 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 応用数物演習△
2025-02-10 00:45:00,309 DEBUG:[DEBUG] Unassigned ライフサイエンス・アースサイエンス from Monday, p=0
2025-02-10 00:45:00,309 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign ライフサイエンス・アースサイエンス
2025-02-10 00:45:00,309 DEBUG:[DEBUG] Unassigned 応用解析学概論△ from Monday, p=0
2025-02-10 00:45:00,310 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 応用解析学概論△
2025-02-10 00:45:00,310 DEBUG:[DEBUG] Unassigned 創造演習 from Monday, p=2
2025-02-10 00:45:00,310 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 創造演習
2025-02-10 00:45:00,310 DEBUG:[DEBUG] Unassigned 数学ⅢB from Monday, p=0
2025-02-10 00:45:00,310 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 数学ⅢB
2025-02-10 00:45:00,310 DEBUG:[DEBUG] Unassigned 数学ⅢB from Monday, p=0
2025-02-10 00:45:00,310 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 数学ⅢB
2025-02-10 00:45:00,310 DEBUG:[DEBUG] Unassigned 数学ⅢB from Monday, p=2
2025-02-10 00:45:00,310 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 数学ⅢB
2025-02-10 00:45:00,310 DEBUG:[DEBUG] Unassigned 測量学特論 from Monday, p=1
2025-02-10 00:45:00,311 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 測量学特論
2025-02-10 00:45:00,311 DEBUG:[DEBUG] Unassigned データベース from Monday, p=1
2025-02-10 00:45:00,311 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign データベース
2025-02-10 00:45:00,311 DEBUG:[DEBUG] Unassigned 創造演習 from Monday, p=3
2025-02-10 00:45:00,311 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 創造演習
2025-02-10 00:45:00,311 DEBUG:[DEBUG] Unassigned 創造製作 from Monday, p=2
2025-02-10 00:45:00,311 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 創造製作
2025-02-10 00:45:00,311 DEBUG:[DEBUG] Unassigned 創造製作 from Monday, p=3
2025-02-10 00:45:00,311 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 創造製作
2025-02-10 00:45:00,311 DEBUG:[DEBUG] Unassigned 国語総合II from Monday, p=0
2025-02-10 00:45:00,311 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 国語総合II
2025-02-10 00:45:00,311 DEBUG:[DEBUG] Unassigned 工学デザイン基礎II from Monday, p=1
2025-02-10 00:45:00,312 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 工学デザイン基礎II
2025-02-10 00:45:00,312 DEBUG:[DEBUG] Unassigned 基礎英語W from Monday, p=1
2025-02-10 00:45:00,312 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 基礎英語W
2025-02-10 00:45:00,312 DEBUG:[DEBUG] Unassigned 基礎設計製図I from Monday, p=1
2025-02-10 00:45:00,312 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 基礎設計製図I
2025-02-10 00:45:00,312 DEBUG:[DEBUG] Unassigned 集積回路設計I△ from Monday, p=1
2025-02-10 00:45:00,312 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 集積回路設計I△
2025-02-10 00:45:00,312 DEBUG:[DEBUG] Unassigned 国語総合II from Monday, p=1
2025-02-10 00:45:00,312 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 国語総合II
2025-02-10 00:45:00,312 DEBUG:[DEBUG] Unassigned 数学IB from Monday, p=1
2025-02-10 00:45:00,313 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 数学IB
2025-02-10 00:45:00,313 DEBUG:[DEBUG] Unassigned 機能材料△ from Monday, p=1
2025-02-10 00:45:00,313 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 機能材料△
2025-02-10 00:45:00,313 DEBUG:[DEBUG] Unassigned 電磁気学 from Monday, p=1
2025-02-10 00:45:00,313 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 電磁気学
2025-02-10 00:45:00,313 DEBUG:[DEBUG] Unassigned プログラミング応用 from Monday, p=1
2025-02-10 00:45:00,313 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign プログラミング応用
2025-02-10 00:45:00,313 DEBUG:[DEBUG] Unassigned 地盤工学 from Monday, p=1
2025-02-10 00:45:00,313 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 地盤工学
2025-02-10 00:45:00,313 DEBUG:[DEBUG] Unassigned 基礎英語W from Monday, p=2
2025-02-10 00:45:00,314 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 基礎英語W
2025-02-10 00:45:00,314 DEBUG:[DEBUG] Unassigned 数学ⅢA from Monday, p=2
2025-02-10 00:45:00,314 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 数学ⅢA
2025-02-10 00:45:00,314 DEBUG:[DEBUG] Unassigned 基礎設計図II from Monday, p=2
2025-02-10 00:45:00,314 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 基礎設計図II
2025-02-10 00:45:00,314 DEBUG:[DEBUG] Unassigned 数学IB from Monday, p=2
2025-02-10 00:45:00,314 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 数学IB
2025-02-10 00:45:00,314 DEBUG:[DEBUG] Unassigned 倫理 from Monday, p=2
2025-02-10 00:45:00,314 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 倫理
2025-02-10 00:45:00,314 DEBUG:[DEBUG] Unassigned 熱機関 from Monday, p=2
2025-02-10 00:45:00,315 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 熱機関
2025-02-10 00:45:00,315 DEBUG:[DEBUG] Unassigned 数学IIA from Monday, p=2
2025-02-10 00:45:00,315 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 数学IIA
2025-02-10 00:45:00,315 DEBUG:[DEBUG] Unassigned 機械設計論I from Monday, p=2
2025-02-10 00:45:00,315 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 機械設計論I
2025-02-10 00:45:00,315 DEBUG:[DEBUG] Unassigned 建築施工法△ from Monday, p=2
2025-02-10 00:45:00,315 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 建築施工法△
2025-02-10 00:45:00,315 DEBUG:[DEBUG] Unassigned 応用物理 from Monday, p=2
2025-02-10 00:45:00,315 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 応用物理
2025-02-10 00:45:00,315 DEBUG:[DEBUG] Unassigned 電子回路I from Monday, p=2
2025-02-10 00:45:00,315 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 電子回路I
2025-02-10 00:45:00,315 DEBUG:[DEBUG] Unassigned 基礎コンピュータ工学 from Monday, p=2
2025-02-10 00:45:00,316 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 基礎コンピュータ工学
2025-02-10 00:45:00,316 DEBUG:[DEBUG] Unassigned 体育 from Tuesday, p=0
2025-02-10 00:45:00,316 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 体育
2025-02-10 00:45:00,316 DEBUG:[DEBUG] Unassigned 体育 from Tuesday, p=1
2025-02-10 00:45:00,316 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 体育
2025-02-10 00:45:00,316 DEBUG:[DEBUG] Unassigned 測量学II from Tuesday, p=0
2025-02-10 00:45:00,316 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 測量学II
2025-02-10 00:45:00,316 DEBUG:[DEBUG] Unassigned 総合英語IW from Tuesday, p=1
2025-02-10 00:45:00,316 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 総合英語IW
2025-02-10 00:45:00,316 DEBUG:[DEBUG] Unassigned 総合英語IW from Tuesday, p=2
2025-02-10 00:45:00,317 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 総合英語IW
2025-02-10 00:45:00,317 DEBUG:[DEBUG] Unassigned 電子情報通信システム実験 from Tuesday, p=2
2025-02-10 00:45:00,317 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 電子情報通信システム実験
2025-02-10 00:45:00,317 DEBUG:[DEBUG] Unassigned 電子情報通信システム実験 from Tuesday, p=3
2025-02-10 00:45:00,317 DEBUG:[SWAP] Failed to fill Wednesday p=2, revert unassign 電子情報通信システム実験
